query_id,query
1,rambo
2,rocky
3,war games
4,crocodile dundee
5,matrix
6,contact
7,space jam
8,battlestar galactica
9,her
10,jobs
11,social network
12,rocky horror
13,shawshank redemption
14,french connection
15,star wars new hope
16,lego batman
17,crouching tiger hidden dragon
18,fight club
19,die hard
20,last temptation of christ
21,tree of life
22,murray saves christmas
23,black swan
24,emma
25,mad max fury road
26,kung fury
27,mr smith goes to washington
28,kill bill
29,the godfather
30,pulp fiction
31,christmas vacation
32,psycho
33,life is beautiful
34,dark knight
35,the green mile
36,forrest gump
37,spaceship movie
38,basketball cartoon aliens
39,christmas movie
40,reindeer movie
41,alien invasion
42,video game movie
43,football sunday
44,football titans
45,stuck on mars
46,world war 2
47,world war 1
48,science fiction
49,world war i
50,world war ii
51,korean war
52,music industry
53,historical comedy
54,second world war
55,first world war
56,coco
57,harts war
58,football movie
59,football
60,stallone sharon stone
61,patrick stewart
62,william shatner
63,stallone
64,sharon stone sylvester stallone
